longitude,latitude
-115.4412,38.9186
-115.4347,38.9066
-115.4159,38.924
-115.4391,38.9285
-115.4281,38.9268
-115.4164,38.9249
-115.4414,38.9197
-115.4304,38.9179
-115.4189,38.9161
-115.4471,38.9183
-115.4354,38.9163
-115.4168,38.8588
-115.4457,38.9164
-115.4242,38.8536
-115.4346,38.9179
-115.4437,38.9076
-115.4285,38.8711
-115.4465,38.8504
-103.7323,36.9442
-103.7341,36.9536
-103.6403,36.9469
-103.7399,36.9387
-103.6487,36.9492
-103.7477,36.9407
-99.0843,30.7458
-99.0826,30.7565
-99.081,30.7671
-99.1117,30.7706
-99.0794,30.7778
-99.0945,30.7795
-99.0779,30.7885
-99.0997,30.7895
-99.1383,30.7657
-99.104,30.7737
-106.1631,44.9449
-106.139,44.9394
-106.0947,44.9163
-106.0951,44.9077
-106.1032,44.9062
-106.1677,44.965
-106.1734,44.9519
-106.143,44.9446
-106.1278,44.9118
-106.0442,44.9255
-106.1706,44.9356
-106.0399,44.9294
-106.0822,44.9275
-106.1661,44.9389
